Timestamp,Gender,Age,USCitizen,Boarding,NewsSource,HKProtests,BTaylor,Explosion,SCNomination
9/30/2020 9:13:43,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,4,3,1
9/30/2020 9:13:53,Male,15,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,2,0,0
9/30/2020 9:13:54,Female,17,Yes,Day,"News apps (Apple news, AP news etc.)",2,3,1,3
9/30/2020 9:14:03,Female,16,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,4,4
9/30/2020 9:14:06,Male,15,No,Boarding,Websites,2,3,3,4
9/30/2020 9:14:11,Female,16,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,3,4
9/30/2020 9:14:20,Female,17,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,4,3,4
9/30/2020 9:14:23,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,0,3,3
9/30/2020 9:14:26,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,3,2,3
9/30/2020 9:14:26,Female,17,Yes,Boarding,"News apps (Apple news, AP news etc.)",3,5,4,5
9/30/2020 9:14:31,Male,16,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,2,4,4
9/30/2020 9:14:34,Female,17,No,Boarding,"News apps (Apple news, AP news etc.)",2,4,5,4
9/30/2020 9:14:39,Female,18,No,Boarding,"News apps (Apple news, AP news etc.)",2,0,0,3
9/30/2020 9:14:49,Female,15,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,3,0,0
9/30/2020 9:14:53,Female,18,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,3,2
9/30/2020 9:14:56,Female,16,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,2,4
9/30/2020 9:15:02,Male,17,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",3,4,1,3
9/30/2020 9:15:13,Female,17,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,2,5
9/30/2020 9:15:51,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,5,2
9/30/2020 9:15:54,Male,17,Yes,Day,Websites,0,4,0,5
9/30/2020 9:16:24,Male,16,No,Day,"Word of mouth (Friends, Family, Teacher)",0,0,3,1
9/30/2020 9:16:45,Female,17,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,5,3,5
9/30/2020 9:16:53,Female,16,Yes,Day,"TV news outlets (Fox, CNN, BBC etc.)",2,4,4,5
9/30/2020 9:17:29,Male,14,No,Boarding,"TV news outlets (Fox, CNN, BBC etc.)",3,5,5,3
9/30/2020 9:18:09,Female,14,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,3,2,2
9/30/2020 9:18:47,Male,16,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,4,3,2
9/30/2020 9:19:34,Female,17,Yes,Day,"Word of mouth (Friends, Family, Teacher)",0,0,0,1
9/30/2020 9:19:42,Female,17,No,Boarding,"News apps (Apple news, AP news etc.)",2,3,2,3
9/30/2020 9:20:31,Male,16,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,0,0,4
9/30/2020 9:20:46,Female,16,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,4,3,4
9/30/2020 9:21:45,Male,16,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,4,4,2
9/30/2020 9:25:18,Female,15,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,3,5,5
9/30/2020 9:26:16,Male,16,Yes,Day,Websites,5,4,3,5
9/30/2020 9:27:10,Male,17,Yes,Day,"TV news outlets (Fox, CNN, BBC etc.)",3,5,2,5
9/30/2020 9:34:51,Female,16,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,5,3
9/30/2020 9:36:18,Female,17,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,1,5
9/30/2020 9:37:18,Male,17,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,3,4,3
9/30/2020 9:38:41,Male,17,No,Boarding,"TV news outlets (Fox, CNN, BBC etc.)",2,5,5,3
9/30/2020 9:39:04,Female,15,Yes,Boarding,"TV news outlets (Fox, CNN, BBC etc.)",0,4,3,4
9/30/2020 9:39:58,Male,16,Yes,Boarding,Websites,2,4,1,5
9/30/2020 9:42:10,Female,16,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,5,0,3
9/30/2020 9:45:07,Male,17,Yes,Day,"News apps (Apple news, AP news etc.)",4,5,5,4
9/30/2020 9:47:01,Female,16,Yes,Day,Newspaper/Magazine,3,5,4,5
9/30/2020 9:47:02,Female,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,3,2
9/30/2020 9:50:41,Female,14,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,1,2,1
9/30/2020 10:01:50,Female,14,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,4,2,5
9/30/2020 10:05:28,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,3,1,3
9/30/2020 10:06:36,Male,16,Yes,Day,"TV news outlets (Fox, CNN, BBC etc.)",0,5,0,4
9/30/2020 10:09:20,Female,15,Yes,Day,"News apps (Apple news, AP news etc.)",0,4,3,0
9/30/2020 10:11:24,Female,16,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,5,3,5
9/30/2020 10:18:26,Male,15,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,0,3,0
9/30/2020 10:20:33,Male,16,No,Boarding,"News apps (Apple news, AP news etc.)",3,1,4,3
9/30/2020 10:21:41,Male,15,Yes,Day,"Word of mouth (Friends, Family, Teacher)",0,0,3,0
9/30/2020 10:23:48,Male,15,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,2,5,5
9/30/2020 10:24:29,Other,12,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,3,3,3
9/30/2020 10:27:40,Female,14,No,Boarding,"Word of mouth (Friends, Family, Teacher)",0,3,3,0
9/30/2020 10:30:09,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,2,1,1
9/30/2020 10:30:40,Male,18,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,3,3
9/30/2020 10:31:30,Female,16,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,0,1
9/30/2020 10:33:16,Female,15,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,4,4
9/30/2020 10:37:02,Female,16,Yes,Boarding,Websites,1,5,4,3
9/30/2020 10:41:40,Male,14,Yes,Day,"Word of mouth (Friends, Family, Teacher)",2,0,0,3
9/30/2020 10:41:56,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",3,3,4,2
9/30/2020 10:42:51,Male,18,Yes,Day,"News apps (Apple news, AP news etc.)",4,5,4,5
9/30/2020 10:44:24,Female,15,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,5,5
9/30/2020 10:45:40,Female,15,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",5,4,0,0
9/30/2020 10:47:46,Male,15,No,Boarding,Websites,2,0,1,2
9/30/2020 10:58:08,Female,17,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,4,4,4
9/30/2020 11:14:11,Female,14,No,Boarding,"News apps (Apple news, AP news etc.)",4,5,5,3
9/30/2020 11:15:39,Female,15,Yes,Boarding,"TV news outlets (Fox, CNN, BBC etc.)",5,5,3,5
9/30/2020 11:18:01,Female,17,Yes,Day,"Word of mouth (Friends, Family, Teacher)",3,3,0,4
9/30/2020 11:18:48,Female,16,Yes,Day,"News apps (Apple news, AP news etc.)",2,5,4,5
9/30/2020 11:30:15,Male,17,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,3,2,1
9/30/2020 11:34:10,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",4,3,4,1
9/30/2020 12:05:04,Male,17,Yes,Boarding,"News apps (Apple news, AP news etc.)",3,4,0,5
9/30/2020 12:08:55,Male,18,Yes,Boarding,"News apps (Apple news, AP news etc.)",5,5,4,4
9/30/2020 12:13:29,Non-Binary,15,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,3,0,3
9/30/2020 12:47:46,Male,18,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,4,4,1
9/30/2020 13:23:40,Male,16,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,3,2,3
9/30/2020 13:34:09,Male,16,Yes,Day,Websites,0,2,4,3
9/30/2020 13:37:45,Male,15,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",4,3,3,4
9/30/2020 13:54:53,Female,15,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,4,3,0
9/30/2020 14:23:25,Female,15,Yes,Day,"Word of mouth (Friends, Family, Teacher)",0,3,1,1
9/30/2020 14:25:02,Female,14,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",4,5,4,4
9/30/2020 15:26:36,Male,16,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",5,0,0,5
9/30/2020 16:39:49,Female,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",5,2,0,1
9/30/2020 16:52:03,Female,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",3,5,4,2
9/30/2020 17:41:53,Female,16,Yes,Day,"Word of mouth (Friends, Family, Teacher)",0,3,1,3
9/30/2020 18:17:23,Male,15,Yes,Day,Websites,5,5,5,5
9/30/2020 19:53:49,Male,18,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,2,4,2
9/30/2020 20:12:52,Female,16,Yes,Day,"TV news outlets (Fox, CNN, BBC etc.)",4,4,2,5
10/1/2020 11:36:48,Female,17,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,1,4
10/1/2020 12:09:18,Female,16,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,4,4,3